materia_malla_id,materia,nivel,simulacion_id,titulo,estado,tipo,indicadores,restricciones,criterios,conceptos,escenarios,observaciones
16,N5M2_INVESTIGACION_OPERATIV - Investigacion Operativa,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 5,303,Examen SimutaV2 - Investigacion Operativa,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
17,N5M3_ADMINISTRACION_ESTRATE - Administracion Estrategica,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 5,304,Examen SimutaV2 - Administracion Estrategica,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
18,N5M4_SIMULACION_DE_NEGOCIOS - Simulacion de Negocios,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 5,305,Examen SimutaV2 - Simulacion de Negocios,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
19,N5M5_SISTEMAS_DE_INFORMACIO - Sistemas de Informacion Gerencial,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 5,306,Examen SimutaV2 - Sistemas de Informacion Gerencial,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
20,N6M1_PRACTICAS_LABORALES - Practicas Laborales,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 6,307,Examen SimutaV2 - Practicas Laborales,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
21,N6M2_AUDITORIA_ADMINISTRATI - Auditoria Administrativa,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 6,308,Examen SimutaV2 - Auditoria Administrativa,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
22,N6M3_ADMINISTRACION_DE_OPER - Administracion de Operaciones,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 6,309,Examen SimutaV2 - Administracion de Operaciones,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
23,"N6M4_MIPYMES_MARCAS_Y_PATEN - MIPYMES, Marcas y Patentes",Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 6,310,"Examen SimutaV2 - MIPYMES, Marcas y Patentes",PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
24,N6M5_HABILIDADES_GERENCIALE - Habilidades Gerenciales,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 6,311,Examen SimutaV2 - Habilidades Gerenciales,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
25,N7M1_PRACTICAS_DE_SERVICIO_ - Practicas de Servicio Comunitario,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 7,312,Examen SimutaV2 - Practicas de Servicio Comunitario,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
26,N7M2_VALORACION_DE_EMPRESAS - Valoracion de Empresas,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 7,313,Examen SimutaV2 - Valoracion de Empresas,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
27,"N7M3_DISENO_DESARROLLO_DE_P - Diseno, Desarrollo de Productos y Gestion de Productos y Servicios",Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 7,314,"Examen SimutaV2 - Diseno, Desarrollo de Productos y Gestion de Productos y Servicios",PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
28,N7M4_DISENO_DE_PROYECTOS - Diseno de Proyectos,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 7,315,Examen SimutaV2 - Diseno de Proyectos,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
29,N7M5_COMERCIO_EXTERIOR_E_IN - Comercio Exterior e Integracion,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 7,316,Examen SimutaV2 - Comercio Exterior e Integracion,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
30,N8M1_TITULACION - Titulacion,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 8,317,Examen SimutaV2 - Titulacion,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
31,N8M2_DESARROLLO_DE_PROYECTO - Desarrollo de Proyectos,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 8,318,Examen SimutaV2 - Desarrollo de Proyectos,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
